X	Y	Region	Terrain
-9	-36	ferals	river_rapids
-9	-35	ferals	river_rapids
-9	-34	ferals	river_rapids
-9	-33	ferals	river_shallow
-9	-32	ferals	river_shallow
-11	-31	ferals	river_shallow
-10	-31	ferals	river_shallow
-9	-31	ferals	river_shallow
-11	-30	ferals	river_shallow
-11	-29	ferals	river_shallow
-11	-28	ferals	river_shallow
-10	-28	ferals	river_shallow
-10	-27	ferals	river_shallow
-11	-26	ferals	river_shallow
-10	-26	ferals	river_shallow
-11	-25	ferals	river_shallow
-12	-24	ferals	river_shallow
-11	-24	ferals	river_shallow
-12	-23	ferals	river_shallow
-12	-22	ferals	river_shallow
-12	-21	ferals	river_shallow
-12	-20	ferals	river_shallow
-11	-20	ferals	river_shallow
-11	-19	ferals	river_shallow
-11	-18	ferals	river_shallow
-10	-18	ferals	river_shallow
-10	-17	ferals	river_shallow
-10	-16	ferals	river_shallow
-11	-15	ferals	river_shallow
-10	-15	ferals	river_shallow
-11	-14	ferals	river_shallow
-11	-13	ferals	river_shallow
-11	-12	ferals	river_shallow
-11	-11	ferals	river_shallow
-10	-11	ferals	river_shallow
-10	-10	ferals	river_shallow
-9	-10	ferals	river_shallow
-9	-9	ferals	river_shallow
-8	-9	ferals	river_shallow
-8	-8	ferals	river_shallow
-8	-7	ferals	river_shallow
-8	-6	ferals	river_shallow
-7	-6	ferals	river_shallow
-26	-5	ferals	grassland
-25	-5	ferals	grassland
-24	-5	ferals	grassland
-23	-5	ferals	grassland
-22	-5	ferals	grassland
-21	-5	ferals	grassland
-20	-5	ferals	grassland
-19	-5	ferals	grassland
-18	-5	ferals	grassland
-17	-5	ferals	grassland
-16	-5	ferals	grassland
-15	-5	ferals	grassland
-14	-5	ferals	grassland
-13	-5	ferals	grassland
-12	-5	ferals	grassland
-11	-5	ferals	grassland
-10	-5	ferals	grassland
-9	-5	ferals	grassland
-8	-5	ferals	river_shallow
-7	-5	ferals	grassland
-6	-5	ferals	grassland
-5	-5	ferals	grassland
-4	-5	ferals	grassland
-3	-5	ferals	grassland
-2	-5	ferals	grassland
-1	-5	ferals	grassland
0	-5	ferals	grassland
1	-5	ferals	grassland
2	-5	ferals	grassland
3	-5	ferals	grassland
4	-5	ferals	grassland
5	-5	ferals	grassland
-8	-4	ferals	river_shallow
-7	-4	ferals	grassland
-6	-4	ferals	grassland
-5	-4	ferals	grassland
-4	-4	ferals	grassland
-3	-4	ferals	grassland
-2	-4	ferals	grassland
-1	-4	ferals	grassland
0	-4	ferals	grassland
1	-4	ferals	grassland
2	-4	ferals	grassland
3	-4	ferals	grassland
4	-4	ferals	grassland
5	-4	ferals	grassland
-8	-3	ferals	river_shallow
-7	-3	ferals	grassland
-6	-3	ferals	grassland
-5	-3	ferals	grassland
-4	-3	ferals	grassland
-3	-3	ferals	grassland
-2	-3	ferals	grassland
-1	-3	midlands	forest_pine_0
0	-3	ferals	grassland
1	-3	ferals	grassland
2	-3	ferals	grassland
3	-3	ferals	grassland
4	-3	ferals	grassland
5	-3	ferals	grassland
-8	-2	ferals	river_shallow
-7	-2	midlands	grassland
-6	-2	midlands	grassland
-5	-2	midlands	grassland
-4	-2	midlands	grassland
-3	-2	midlands	grassland
-2	-2	midlands	grassland
-1	-2	midlands	grassland
0	-2	midlands	grassland
1	-2	ferals	grassland
2	-2	ferals	grassland
3	-2	ferals	grassland
4	-2	ferals	grassland
5	-2	ferals	grassland
-8	-1	ferals	river_shallow
-7	-1	ferals	grassland
-6	-1	ferals	grassland
-5	-1	ferals	grassland
-4	-1	ferals	grassland
-3	-1	ferals	grassland
-2	-1	midlands	grassland
-1	-1	midlands	grassland
0	-1	midlands	grassland
1	-1	midlands	grassland
2	-1	ferals	grassland
