X	Y	Region	Terrain
-11	-38	ferals	cliff_face_high
-10	-38	ferals	cliff_face_high
-9	-38	ferals	cliff_face_high
-8	-38	ferals	cliff_face_high
-7	-38	ferals	cliff_face_high
-12	-37	ferals	cliff_face_high
-11	-37	ferals	cliff_face_high
-10	-37	ferals	hill_high_top
-9	-37	ferals	hill_high_top
-8	-37	ferals	hill_high_top
-7	-37	ferals	cliff_face_high
-6	-37	ferals	cliff_face_high
-14	-36	ferals	cliff_face_mid
-13	-36	ferals	cliff_face_high
-12	-36	ferals	cliff_face_high
-11	-36	ferals	hill_high_side
-10	-36	ferals	hill_high_top
-9	-36	ferals	river_rapids
-8	-36	ferals	hill_high_top
-7	-36	ferals	hill_high_side
-6	-36	ferals	cliff_face_high
-5	-36	ferals	cliff_face_high
-4	-36	ferals	cliff_face_mid
-15	-35	ferals	cliff_bottom
-14	-35	ferals	cliff_face_mid
-13	-35	ferals	hill_low_side
-12	-35	ferals	hill_mid_side
-11	-35	ferals	hill_mid_top
-10	-35	ferals	hill_high_side
-9	-35	ferals	river_rapids
-8	-35	ferals	hill_high_side
-7	-35	ferals	hill_mid_top
-6	-35	ferals	hill_mid_side
-5	-35	ferals	hill_low_side
-4	-35	ferals	cliff_face_mid
-15	-34	ferals	cliff_bottom
-14	-34	ferals	cliff_face_mid
-13	-34	ferals	hill_low_side
-12	-34	ferals	hill_mid_side
-11	-34	ferals	hill_mid_top
-10	-34	ferals	hill_high_side
-9	-34	ferals	river_rapids
-8	-34	ferals	hill_high_side
-7	-34	ferals	hill_mid_top
-6	-34	ferals	hill_mid_side
-5	-34	ferals	hill_low_side
-4	-34	ferals	cliff_face_mid
-15	-33	ferals	cliff_bottom
-14	-33	ferals	cliff_face_mid
-13	-33	ferals	hill_low_side
-12	-33	ferals	hill_low_side
-11	-33	ferals	hill_low_side
-10	-33	ferals	grassland
-9	-33	ferals	river_shallow
-8	-33	ferals	grassland
-7	-33	ferals	hill_low_side
-6	-33	ferals	hill_low_side
-5	-33	ferals	hill_low_side
-4	-33	ferals	cliff_face_mid
-15	-32	ferals	cliff_bottom
-14	-32	ferals	cliff_face_low
-13	-32	ferals	cliff_face_low
-12	-32	ferals	grassland
-11	-32	ferals	grassland
-10	-32	ferals	grassland
-9	-32	ferals	river_shallow
-8	-32	ferals	grassland
-7	-32	ferals	cliff_face_low
-6	-32	ferals	cliff_face_low
-5	-32	ferals	cliff_face_low
-4	-32	ferals	cliff_face_low
-14	-31	ferals	cliff_bottom
-13	-31	ferals	cliff_bottom
-12	-31	ferals	grassland
-11	-31	ferals	river_shallow
-10	-31	ferals	river_shallow
-9	-31	ferals	river_shallow
-8	-31	ferals	grassland
-7	-31	ferals	cliff_bottom
-6	-31	ferals	cliff_bottom
-5	-31	ferals	cliff_bottom
-14	-30	ferals	cliff_bottom
-13	-30	ferals	cliff_face_low
-12	-30	ferals	grassland
-11	-30	ferals	river_shallow
-10	-30	ferals	grassland
-9	-30	ferals	grassland
-8	-30	ferals	grassland
-7	-30	ferals	cliff_face_low
-6	-30	ferals	cliff_bottom
-14	-29	ferals	cliff_bottom
-13	-29	ferals	cliff_face_low
-12	-29	ferals	grassland
